< 171.67.246.77, 204.52.215.4, TCP, 014, 132199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 015, 35199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 015, 129199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 015, 217199, 2 >
< 204.52.215.4, 171.67.246.77, TCP, 08, 240199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 09, 134199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 010, 50199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 010, 137199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 011, 25199, 3 >
< 171.67.246.77, 204.52.215.4, TCP, 019, 117199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 018, 172199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 018, 213199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 019, 61199, 2 >
< 171.67.246.77, 204.52.215.4, TCP, 019, 137199, 2 >
< 204.52.215.4, 171.67.246.77, TCP, 011, 192199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 012, 34199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 012, 121199, 3 >
< 204.52.215.4, 171.67.246.77, TCP, 012, 167199, 3 >
